"Lookup IP",Mobile,Date,Proxy,ISP,Organization,ASN,Host,"Country Code",City,Region,Latitude,Longitude,"Strictness Level",TOR,VPN,"Active TOR","Active VPN","Connection Type","Abuse Velocity","Recent Abuse","Bot Status","Fraud Score",Browser,OS,Brand,Model,"User Activity","Original Column 1"
118.209.96.251,false,2022-03-23T14:47:21-04:00,false,TPG Internet,TPG Internet,7545,ppp118-209-96-251.hba-tec-tas-bras31.tpg.internode.on.net,AU,Launceston,Tasmania,-41.43999863,147.13000488,1,false,false,false,false,Premium required.,Premium required.,false,false,0,N/A,N/A,N/A,N/A,N/A,118.209.96.251
118.209.9.44,false,2022-03-23T14:47:21-04:00,false,TPG Internet,TPG Internet,7545,118.209.9.44,AU,Buderim,Queensland,-26.68000031,153.05999756,1,false,false,false,false,Premium required.,Premium required.,false,false,0,N/A,N/A,N/A,N/A,N/A,118.209.9.44
101.164.134.92,false,2022-03-23T14:47:22-04:00,false,Telstra Internet,Telstra Internet,1221,cpe-101-164-134-92.hhui-cr-009.cht.nsw.bigpond.net.au,AU,Sydney,New South Wales,-33.86000061,151.21000671,1,false,false,false,false,Premium required.,Premium required.,false,false,0,N/A,N/A,N/A,N/A,N/A,101.164.134.92
58.174.102.229,false,2022-03-23T14:47:03-04:00,false,Telstra Internet,Telstra Internet,1221,cpe-58-174-102-229.sb03.sa.asp.telstra.net,AU,Adelaide,South Australia,-34.93000031,138.6000061,1,false,false,false,false,Premium required.,Premium required.,false,false,0,N/A,N/A,N/A,N/A,N/A,58.174.102.229
186.52.59.28,false,2022-03-23T14:47:04-04:00,false,Antel Uruguay,Antel Uruguay,6057,r186-52-59-28.dialup.adsl.anteldata.net.uy,UY,Montevideo,Departamento de Montevideo,-34.86000061,-56.16999817,1,false,false,false,false,Premium required.,Premium required.,false,false,0,N/A,N/A,N/A,N/A,N/A,186.52.59.28
111.220.124.140,false,2022-03-23T14:47:05-04:00,true,Vocus Communications,Vocus Communications,9443,140.124.220.111.sta.wbroadband.net.au,AU,Hobart,Tasmania,-42.88000107,147.33000183,1,false,true,false,false,Premium required.,Premium required.,false,false,75,N/A,N/A,N/A,N/A,N/A,111.220.124.140
58.174.158.127,false,2022-03-23T14:47:06-04:00,false,Telstra Internet,Telstra Internet,1221,cpe-58-174-158-127.sb03.sa.asp.telstra.net,AU,Adelaide,South Australia,-34.93000031,138.6000061,1,false,false,false,false,Premium required.,Premium required.,false,false,0,N/A,N/A,N/A,N/A,N/A,58.174.158.127
103.69.235.133,false,2022-03-23T14:47:07-04:00,true,Voyager Internet,Voyager Internet,56030,103.69.235.133,NZ,Auckland,Auckland,-36.86999893,174.77000427,1,false,true,false,false,Premium required.,Premium required.,false,false,78,N/A,N/A,N/A,N/A,N/A,103.69.235.133
110.174.29.221,false,2022-03-23T14:47:08-04:00,true,TPG Internet,TPG Internet,7545,110-174-29-221.static.tpgi.com.au,AU,Melbourne,Victoria,-37.81000137,144.96000671,1,false,false,false,false,Premium required.,Premium required.,false,false,73,N/A,N/A,N/A,N/A,N/A,110.174.29.221
118.149.64.31,false,2022-03-23T14:47:10-04:00,false,2degrees Mobile,2degrees,23655,31-64-149-118.nzcomms.co.nz,NZ,Whangarei,Northland,-35.72000122,174.33000183,1,false,false,false,false,Premium required.,Premium required.,false,false,0,N/A,N/A,N/A,N/A,N/A,118.149.64.31
115.188.186.191,false,2022-03-23T14:47:12-04:00,true,Spark New Zealand,Spark New Zealand,4771,115-188-186-191-adsl.sparkbb.co.nz,NZ,Hamilton,Waikato,-37.77999878,175.27999878,1,false,false,false,false,Premium required.,Premium required.,false,false,70,N/A,N/A,N/A,N/A,N/A,115.188.186.191
80.110.126.11,false,2022-03-23T14:47:13-04:00,false,Magenta Telekom,Magenta Telekom,8412,80-110-126-11.cgn.dynamic.surfer.at,AT,Vienna,Vienna,48.20000076,16.37000084,1,false,false,false,false,Premium required.,Premium required.,false,false,0,N/A,N/A,N/A,N/A,N/A,80.110.126.11
1.40.6.216,false,2022-03-23T14:47:14-04:00,false,Optus,Optus,4804,n1-40-6-216.bla1.nsw.optusnet.com.au,AU,Sydney,New South Wales,-33.86000061,151.21000671,1,false,false,false,false,Premium required.,Premium required.,false,false,0,N/A,N/A,N/A,N/A,N/A,1.40.6.216
116.26.205.33,false,2022-03-23T14:47:15-04:00,false,China Telecom,China Telecom,4134,116.26.205.33,CN,Lecheng,Guangdong,25.11000061,113.34999847,1,false,false,false,false,Premium required.,Premium required.,false,false,0,N/A,N/A,N/A,N/A,N/A,116.26.205.33
49.197.255.42,false,2022-03-23T14:47:16-04:00,false,Optus,Optus,4804,pa49-197-255-42.pa.qld.optusnet.com.au,AU,Brisbane,Queensland,-27.46999931,153.02000427,1,false,false,false,false,Premium required.,Premium required.,false,false,0,N/A,N/A,N/A,N/A,N/A,49.197.255.42
202.86.119.247,false,2022-03-23T14:47:17-04:00,false,Superloop,Superloop,38195,202.86.119.247,AU,Adelaide,South Australia,-34.93000031,138.6000061,1,false,false,false,false,Premium required.,Premium required.,false,false,20,N/A,N/A,N/A,N/A,N/A,202.86.119.247
122.60.103.213,false,2022-03-23T14:47:18-04:00,false,Spark New Zealand,Spark New Zealand,4771,122-60-103-213-adsl.sparkbb.co.nz,NZ,Auckland,Auckland,-36.86999893,174.77000427,1,false,false,false,false,Premium required.,Premium required.,false,false,0,N/A,N/A,N/A,N/A,N/A,122.60.103.213
203.173.7.98,false,2022-03-23T14:47:19-04:00,false,iiNet Limited,iiNet Limited,7545,203-173-7-98.dyn.iinet.net.au,AU,Canberra,Australian Capital Territory,-35.27999878,149.13000488,1,false,false,false,false,Premium required.,Premium required.,false,false,0,N/A,N/A,N/A,N/A,N/A,203.173.7.98
167.60.12.253,false,2022-03-23T14:47:20-04:00,false,Antel Uruguay,Antel Uruguay,6057,r167-60-12-253.dialup.adsl.anteldata.net.uy,UY,Montevideo,Departamento de Montevideo,-34.86000061,-56.16999817,1,false,false,false,false,Premium required.,Premium required.,false,false,0,N/A,N/A,N/A,N/A,N/A,167.60.12.253
220.253.68.85,false,2022-03-23T14:47:21-04:00,false,TPG Internet,TPG Internet,7545,220-253-68-85.tpgi.com.au,AU,Adelaide,South Australia,-34.93000031,138.6000061,1,false,false,false,false,Premium required.,Premium required.,false,false,0,N/A,N/A,N/A,N/A,N/A,220.253.68.85
222.152.14.61,false,2022-03-23T14:47:22-04:00,false,Spark New Zealand,Spark New Zealand,4771,222-152-14-61-fibre.sparkbb.co.nz,NZ,New Plymouth,Taranaki,-39.06999969,174.08000183,1,false,false,false,false,Premium required.,Premium required.,false,false,0,N/A,N/A,N/A,N/A,N/A,222.152.14.61
110.144.24.147,false,2022-03-23T14:47:23-04:00,false,Telstra Internet,Telstra Internet,1221,110.144.24.147,AU,Melbourne,Victoria,-37.81000137,144.96000671,1,false,false,false,false,Premium required.,Premium required.,false,false,0,N/A,N/A,N/A,N/A,N/A,110.144.24.147
122.109.197.65,false,2022-03-23T14:47:24-04:00,false,Optus,Optus,4804,n122-109-197-65.rdl2.qld.optusnet.com.au,AU,Gold Coast,Queensland,-28,153.42999268,1,false,false,false,false,Premium required.,Premium required.,false,false,0,N/A,N/A,N/A,N/A,N/A,122.109.197.65
220.235.182.52,false,2022-03-23T14:47:25-04:00,false,iiNet Limited,iiNet Limited,7545,220-235-182-52.dyn.iinet.net.au,AU,Wollongong,New South Wales,-34.41999817,150.88999939,1,false,false,false,false,Premium required.,Premium required.,false,false,0,N/A,N/A,N/A,N/A,N/A,220.235.182.52
59.102.15.114,false,2022-03-23T14:47:26-04:00,false,TPG Internet,TPG Internet,7545,59-102-15-114.tpgi.com.au,AU,Melbourne,Victoria,-37.81000137,144.96000671,1,false,false,false,false,Premium required.,Premium required.,false,false,0,N/A,N/A,N/A,N/A,N/A,59.102.15.114
101.162.100.235,false,2022-03-23T14:47:27-04:00,false,Telstra Internet,Telstra Internet,1221,cpe-101-162-100-235.qb51.nqld.asp.telstra.net,AU,Townsville,Queensland,-19.27000046,146.80999756,1,false,false,false,false,Premium required.,Premium required.,false,false,0,N/A,N/A,N/A,N/A,N/A,101.162.100.235
123.209.253.31,false,2022-03-23T14:47:30-04:00,false,Telstra Internet,Telstra Internet,1221,123.209.253.31,AU,Sydney,New South Wales,-33.86000061,151.21000671,1,false,false,false,false,Premium required.,Premium required.,false,false,0,N/A,N/A,N/A,N/A,N/A,123.209.253.31
101.167.15.199,false,2022-03-23T14:47:30-04:00,false,Telstra Internet,Telstra Internet,1221,cpe-101-167-15-199.qb52.nqld.asp.telstra.net,AU,Gordonvale,Queensland,-17.10000038,145.77999878,1,false,false,false,false,Premium required.,Premium required.,false,false,0,N/A,N/A,N/A,N/A,N/A,101.167.15.199
58.174.112.22,false,2022-03-23T14:47:02-04:00,false,Telstra Internet,Telstra Internet,1221,cpe-58-174-112-22.sb03.sa.asp.telstra.net,AU,Adelaide,South Australia,-34.93000031,138.6000061,1,false,false,false,false,Premium required.,Premium required.,false,false,0,N/A,N/A,N/A,N/A,N/A,58.174.112.22
213.231.63.143,false,2022-03-23T14:47:05-04:00,false,Briz,Briz,34661,213.231.63.143.pool.breezein.net,UA,Odessa,Odessa,46.45999908,30.73999977,1,false,false,false,false,Premium required.,Premium required.,false,false,0,N/A,N/A,N/A,N/A,N/A,213.231.63.143
101.166.192.152,false,2022-03-23T14:47:07-04:00,false,Telstra Internet,Telstra Internet,1221,cpe-101-166-192-152.ejui-cr-101.fli.sa.bigpond.net.au,AU,Adelaide,South Australia,-34.93000031,138.6000061,1,false,false,false,false,Premium required.,Premium required.,false,false,0,N/A,N/A,N/A,N/A,N/A,101.166.192.152
115.70.185.60,false,2022-03-23T14:47:07-04:00,true,Exetel,Exetel,10143,60.185.70.115.static.exetel.com.au,AU,Adelaide,South Australia,-34.93000031,138.6000061,1,false,true,false,false,Premium required.,Premium required.,true,true,100,N/A,N/A,N/A,N/A,N/A,115.70.185.60
49.255.78.70,false,2022-03-23T14:47:09-04:00,true,Vocus Connect International Backbone,Vocus Connect International Backbone,4826,static-70.78.255.49.in-addr.VOCUS.net.au,AU,Melbourne,Victoria,-37.81000137,144.96000671,1,false,true,false,false,Premium required.,Premium required.,true,true,100,N/A,N/A,N/A,N/A,N/A,49.255.78.70
1.136.107.89,false,2022-03-23T14:47:09-04:00,false,Telstra Internet,Telstra Internet,1221,1.136.107.89,AU,Melbourne,Victoria,-37.81000137,144.96000671,1,false,false,false,false,Premium required.,Premium required.,false,false,0,N/A,N/A,N/A,N/A,N/A,1.136.107.89
49.199.17.126,false,2022-03-23T14:47:10-04:00,false,Optus,Optus,4804,pa49-199-17-126.pa.vic.optusnet.com.au,AU,Melbourne,Victoria,-37.81000137,144.96000671,1,false,false,false,false,Premium required.,Premium required.,false,false,0,N/A,N/A,N/A,N/A,N/A,49.199.17.126
143.131.224.70,false,2022-03-23T14:47:11-04:00,false,Adamo,Adamo,35699,cli-8f83e046.wholesale.adamo.es,ES,Laredo,Cantabria,43.40999985,-3.42000008,1,false,false,false,false,Premium required.,Premium required.,false,false,0,N/A,N/A,N/A,N/A,N/A,143.131.224.70
1.124.105.27,false,2022-03-23T14:47:13-04:00,false,Telstra Internet,Telstra Internet,1221,1.124.105.27,AU,Katherine,Northern Territory,-14.47000027,132.25999451,1,false,false,false,false,Premium required.,Premium required.,false,false,22,N/A,N/A,N/A,N/A,N/A,1.124.105.27
101.167.14.239,false,2022-03-23T14:47:14-04:00,false,Telstra Internet,Telstra Internet,1221,cpe-101-167-14-239.qb52.nqld.asp.telstra.net,AU,Townsville,Queensland,-19.27000046,146.80999756,1,false,false,false,false,Premium required.,Premium required.,false,false,0,N/A,N/A,N/A,N/A,N/A,101.167.14.239
81.217.127.166,false,2022-03-23T14:47:15-04:00,false,kabelplus,kabelplus,8339,h081217127166.dyn.cm.kabsi.at,AT,Sankt Plten,Lower Austria,46.61999893,14.31000042,1,false,false,false,false,Premium required.,Premium required.,false,false,0,N/A,N/A,N/A,N/A,N/A,81.217.127.166
122.105.15.78,false,2022-03-23T14:47:17-04:00,false,Optus,Optus,4804,n122-105-15-78.sun1.vic.optusnet.com.au,AU,Melbourne,Victoria,-37.81000137,144.96000671,1,false,false,false,false,Premium required.,Premium required.,false,false,0,N/A,N/A,N/A,N/A,N/A,122.105.15.78
46.193.4.12,false,2022-03-23T14:47:18-04:00,true,Wifirst,Wifirst,52075,eth-west-pareq2-46-193-4-12.wb.wifirst.net,FR,Dijon,Bourgogne-Franche-Comte,47.31999969,5.01999998,1,false,false,false,false,Premium required.,Premium required.,false,false,73,N/A,N/A,N/A,N/A,N/A,46.193.4.12
116.251.22.245,false,2022-03-23T14:47:19-04:00,false,Activ8me,Activ8me,24033,116-251-22-245.pool.activ8me.net.au,AU,Kowanyama,Queensland,-15.47000027,141.75,1,false,false,false,false,Premium required.,Premium required.,false,false,0,N/A,N/A,N/A,N/A,N/A,116.251.22.245
1.128.109.100,false,2022-03-23T14:47:19-04:00,false,Telstra Internet,Telstra Internet,1221,1.128.109.100,AU,Golden Beach,Queensland,-38.20999908,147.3999939,1,false,false,false,false,Premium required.,Premium required.,false,false,0,N/A,N/A,N/A,N/A,N/A,1.128.109.100
